NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"17 Maya St. BH, QC",14.68058,121.10522,"Talipapa, Consti",14.69064,121.09661
"30 Pigeon Alley St. BH, QC",14.68472,121.09774,"Palengke, Consti",14.69064,121.09661
"40 Santan St. BH, QC",14.69841,121.09685,St. Peter Church / Ever Gotesco Mall,14.68057,121.09355
"41B Santan St. BH, QC",14.69162,121.10755,Highway Market,14.68472,121.09774
"42 Santan St. BH, QC",14.69837,121.09692,"Talipapa, Ilang Ilang St.",14.68479,121.08861
"Blk. 91 lot 22 Santan St. BH, QC",14.69157,121.05708,"Talipapa, Ilang Ilang St.",14.68479,121.08861
"12 Everlasting St., BH, QC",14.68808,121.05934,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"2062 Everlasting St., BH, QC",14.68057,121.09355,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"254 Rosas St., BH, QC",14.68057,121.09355,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"651 Rosas St., BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"48 Santan St. BH, QC",14.68993,121.05726,"DILG, Taguig City",14.52941,121.07102
"6236 Rosas St., BH, QC",14.68057,121.09355,St. Peter Parish,14.68057,121.09355
"Blk. 89 Lot 2 ROsal St. BH, QC",14.70214,121.06153,"Talipapa, Ilang Ilang",14.68479,121.08861
"315 Rosas St., BH, QC",14.68057,121.09355,St. Peter Parish,14.68057,121.09355
"05 Santan St. BH, QC",14.68057,121.09355,"Bocaue, Bulacan",14.79849,120.92634
"79 Rosas St., BH, QC",14.68057,121.09355,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"23 Rosal St. BH, QC",14.68789,121.05878,Filinvest Subd.,14.68435,121.09098
"317 Rosas St., BH, QC",14.68057,121.09355,"Banahaw, Cubao",14.62007,121.05947
"2015 Ilang Ilang St. BH, QC",14.68479,121.08861,"Kapulong St. Tondo, Manila",14.62053,120.96575
"44B Jasmin St., BH, QC",14.68575,121.10863,"Talipapa, Ilang-ilang St.",14.68479,121.08861
"B-91, L 20 Santan St. BH, QC",14.69872,121.09611,"San Roque, Supermarket, Novaliches",14.6709,120.93898
"521 Santan St., BH, QC",14.68057,121.09355,"UP Teacher's Village, Maginhawa St.",14.64877,121.05697
"40 Santan St. BH, QC",14.69841,121.09685,Jasmin Court,14.68472,121.09774
"2074 Ilang Ilang St. BH, QC",14.68479,121.08861,"Cardinal Medical, San Juan",14.60581,121.02163
"10 Rosal St., BH, QC",14.70231,121.01877,National Center for Mental Health,14.5865,121.0371
"34 Ilang-Ilang St. BH, QC",14.68472,121.10659,Commonwealth Market,14.682,121.08509
